Dataset,Algoritmo,Ciclo,Tempo(s),Área(%),Peças,Fecho(%),Box(%)
embraer_3153,GCG,1,147.59,65.61,8,85.58,95.17
embraer_3153,GCG,2,18.67,64.45,7,85.46,96.80
embraer_3153,GCG,3,0.19,12.50,2,14.45,15.66
embraer_3153,GRASP,1,263.83,70.08,8,85.18,97.27
embraer_3153,GRASP,2,141.54,66.54,8,85.61,91.11
embraer_3153,GRASP,3,0.01,6.26,1,6.26,7.21
embraer_3153,GRASP_GCG,1,252.19,72.53,9,91.88,96.37
embraer_3153,GRASP_GCG,2,71.75,66.39,7,92.96,98.63
embraer_3153,GRASP_GCG,3,0.01,3.69,1,3.69,4.21
embraer_3153,Random Key,1,323.58,74.69,10,91.97,97.72
embraer_3153,Random Key,2,78.58,59.44,6,81.77,83.92
embraer_3153,Random Key,3,0.14,8.53,1,8.53,10.30
embraer_3086,GCG,1,184.89,71.03,6,86.41,93.52
embraer_3086,GCG,2,46.38,55.71,11,78.38,86.87
embraer_3086,GRASP,1,748.00,76.53,11,94.67,98.74
embraer_3086,GRASP,2,3.32,50.20,6,60.22,70.21
embraer_3086,GRASP_GCG,1,440.10,73.99,7,89.76,97.62
embraer_3086,GRASP_GCG,2,6.12,52.72,10,74.03,81.31
embraer_3086,Random Key,1,392.49,76.21,8,92.54,98.87
embraer_3086,Random Key,2,9.79,50.21,9,76.73,85.19
embraer_3089,GCG,1,95.33,77.55,8,93.69,97.99
embraer_3089,GCG,2,23.00,67.78,9,84.95,96.99
embraer_3089,GCG,3,0.03,5.02,1,5.02,5.16
embraer_3089,GRASP,1,247.13,79.26,10,93.48,100.00
embraer_3089,GRASP,2,2.25,71.09,8,87.59,97.28
embraer_3089,GRASP_GCG,1,166.34,77.77,9,94.30,99.28
embraer_3089,GRASP_GCG,2,75.91,67.67,8,80.61,89.15
embraer_3089,GRASP_GCG,3,0.01,4.99,1,4.99,5.38
embraer_3089,Random Key,1,324.36,78.22,10,95.09,99.71
embraer_3089,Random Key,2,15.45,72.26,8,90.32,96.41
embraer_3274,GCG,1,112.94,69.13,7,82.54,98.10
embraer_3274,GCG,2,26.97,58.25,9,82.69,97.09
embraer_3274,GRASP,1,618.37,71.82,7,86.06,97.09
embraer_3274,GRASP,2,1.37,55.54,9,76.29,97.38
embraer_3274,GRASP_GCG,1,305.69,70.08,7,83.87,98.10
embraer_3274,GRASP_GCG,2,39.14,57.45,9,82.02,97.95
embraer_3274,Random Key,1,289.02,69.22,6,81.59,93.45
embraer_3274,Random Key,2,11.33,58.00,10,83.30,86.72
embraer_2338,GCG,1,194.36,73.81,8,91.92,98.62
embraer_2338,GCG,2,43.54,65.68,10,86.44,95.01
embraer_2338,GCG,3,0.03,4.14,1,4.14,6.07
embraer_2338,GRASP,1,561.47,77.43,9,93.64,99.75
embraer_2338,GRASP,2,30.14,66.46,10,88.05,99.25
embraer_2338,GRASP_GCG,1,512.28,74.59,11,90.22,98.24
embraer_2338,GRASP_GCG,2,11.71,69.15,8,87.37,94.73
embraer_2338,Random Key,1,425.82,77.81,10,92.67,96.62
embraer_2338,Random Key,2,9.69,65.92,9,82.03,90.17
embraer_610,GCG,1,288.29,70.04,6,92.02,97.27
embraer_610,GCG,2,77.88,56.97,6,87.92,90.47
embraer_610,GCG,3,2.32,23.86,3,49.39,65.27
embraer_610,GRASP,1,445.40,66.70,7,90.33,99.48
embraer_610,GRASP,2,203.93,61.98,5,78.86,93.08
embraer_610,GRASP,3,0.53,21.94,3,52.04,81.54
embraer_610,GRASP_GCG,1,420.51,69.45,6,94.66,99.66
embraer_610,GRASP_GCG,2,233.38,57.94,6,79.04,94.23
embraer_610,GRASP_GCG,3,0.47,23.47,3,51.91,81.20
embraer_610,Random Key,1,896.04,69.06,6,88.99,97.94
embraer_610,Random Key,2,441.66,63.01,6,85.56,100.00
embraer_610,Random Key,3,6.20,18.72,3,30.93,39.38
embraer_55,GCG,1,851.71,62.51,10,87.35,97.57
embraer_55,GCG,2,94.35,27.68,9,48.27,52.32
embraer_55,GRASP,1,2029.31,66.56,9,88.21,99.49
embraer_55,GRASP,2,9.03,23.49,10,36.32,44.07
embraer_55,GRASP_GCG,1,1392.13,65.00,17,97.82,99.36
embraer_55,GRASP_GCG,2,0.02,25.33,2,33.57,52.04
embraer_55,Random Key,1,1233.59,65.61,10,91.17,94.54
embraer_55,Random Key,2,28.36,24.67,9,41.17,49.21
