9

10
127 1
91 3
89 26
8 35
29 164
67 164
68 136
163 125
161 89
137 88

11
220 13
181 13
180 31
3 19
0 59
29 109
29 248
91 236
244 252
245 211
221 210

12
219 1
179 0
176 28
11 51
14 90
26 92
27 282
67 282
70 253
240 239
238 203
220 201

12
101 3
67 5
28 88
3 93
28 376
85 377
85 346
134 341
131 289
111 288
110 68
132 43

13
5 12
31 268
85 319
91 358
124 358
156 321
134 260
140 40
161 37
161 23
128 1
93 1
92 18

11
145 19
107 14
108 56
37 111
24 265
70 268
71 246
137 250
141 201
110 200
109 85

11
227 76
210 75
204 15
189 6
79 8
25 58
19 105
79 131
203 130
210 104
227 102

7
19 24
26 154
54 154
55 131
694 117
671 55
495 1

14
22 13
13 104
31 131
152 129
153 120
203 116
210 101
227 98
226 66
211 66
203 44
191 44
157 8
35 5
